Time (UTC),04/20/26,04/21/26,04/22/26,04/23/26,04/24/26,04/25/26,04/26/26,04/27/26,04/28/26
00:00,,0.0,0.0,0.06666666666666667,0.19999999999999998,0.0,0.0,0.8666666666666667,0.0
00:30,,0.06666666666666667,0.0,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.0
01:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0
01:30,,0.0,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.20000000000000004,0.06666666666666667
02:00,,0.0,0.13333333333333333,0.0,0.13333333333333333,0.39999999999999997,0.06666666666666667,0.0,0.0
02:30,,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.0
03:00,,0.0,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.0,0.0,0.3333333333333333
03:30,,138.46666666666667,0.0,1.6666666666666667,0.0,0.0,0.0,61.93333333333334,0.0
04:00,,175.66666666666666,0.0,0.06666666666666667,0.0,0.0,0.0,6.533333333333334,0.0
04:30,,8.6,4.2,0.19999999999999998,0.0,0.0,0.0,1.2,0.0
05:00,,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,2.8666666666666667,1.0666666666666667
05:30,,8.266666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,4.533333333333333,0.0
06:00,,0.06666666666666667,3.533333333333333,0.0,0.3333333333333333,0.0,0.0,5.2,0.0
06:30,,17.8,2.466666666666667,0.0,0.0,0.0,0.0,4.2,0.06666666666666667
07:00,,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,11.0,0.0
07:30,,14.800000000000002,0.06666666666666667,3.9333333333333336,0.0,0.0,1.7333333333333334,0.0,0.0
08:00,,7.466666666666666,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,14.0,0.06666666666666667
08:30,,78.4,0.06666666666666667,0.0,0.0,2.1999999999999997,0.0,0.0,0.0
09:00,,5.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667
09:30,,0.20000000000000004,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
10:00,,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.4666666666666666,0.0
10:30,,0.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11:00,,1.2666666666666668,0.0,0.0,3.0,0.0,0.06666666666666667,0.13333333333333333,0.0
11:30,,0.0,0.0,0.0,0.0,0.0,0.20000000000000004,0.0,0.06666666666666667
12:00,,0.0,0.06666666666666667,0.0,0.0,0.0,1.1333333333333333,0.26666666666666666,0.0
12:30,,2.1999999999999997,0.0,0.4666666666666666,1.1333333333333333,0.20000000000000004,0.06666666666666667,0.3333333333333333,1.0
13:00,,0.26666666666666666,0.0,0.39999999999999997,0.20000000000000004,0.3333333333333333,0.0,0.26666666666666666,0.7333333333333334
13:30,,0.0,0.0,0.19999999999999998,0.3333333333333333,0.13333333333333333,0.0,0.20000000000000004,0.13333333333333333
14:00,,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.19999999999999998,0.06666666666666667
14:30,,0.20000000000000004,0.0,0.13333333333333333,0.3333333333333333,0.20000000000000004,0.0,0.20000000000000004,0.13333333333333333
15:00,,0.06666666666666667,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.13333333333333333,
15:30,,0.4666666666666666,0.0,0.0,0.06666666666666667,0.20000000000000004,0.26666666666666666,0.06666666666666667,
16:00,,0.13333333333333333,0.0,0.0,0.13333333333333333,0.4000000000000001,0.0,0.13333333333333333,
16:30,,0.06666666666666667,0.0,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.13333333333333333,
17:00,,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.3333333333333333,
17:30,,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.3333333333333333,
18:00,,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.20000000000000004,
18:30,,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.06666666666666667,
19:00,,0.13333333333333333,0.13333333333333333,0.0,0.0,0.0,0.13333333333333333,0.0,
19:30,0.26666666666666666,0.0,0.26666666666666666,0.0,0.06666666666666667,0.0,0.06666666666666667,0.13333333333333333,
20:00,0.13333333333333333,0.0,0.0,0.06666666666666667,0.0,0.19999999999999998,0.0,0.0,
20:30,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.06666666666666667,0.13333333333333333,0.0,
21:00,0.4666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.06666666666666667,
21:30,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.19999999999999998,0.13333333333333333,0.20000000000000004,
22:00,0.0,0.0,0.0,0.26666666666666666,0.0,0.39999999999999997,0.13333333333333333,0.0,
22:30,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.5333333333333333,0.13333333333333333,0.0,
23:00,0.20000000000000004,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.0,
23:30,0.20000000000000004,0.0,0.0,0.06666666666666667,0.19999999999999998,0.0,0.0,0.0,
