Time (UTC),08/21/25,08/22/25
00:00,,0.0
00:30,,0.0
01:00,,0.0
01:30,,0.0
02:00,,0.0
02:30,,0.0
03:00,,0.0
03:30,,7.896655555555555
04:00,,5.239388777777777
04:30,,0.5828888888888889
05:00,,4.903488777777778
05:30,,3.5960222222222225
06:00,,1.5530555555555556
06:30,,3.5498
07:00,,3.839866666666667
07:30,,0.0
08:00,,4.2609555555555545
08:30,,0.7208222222222221
09:00,,1.9976777777777777
09:30,,0.0
10:00,,0.5147777777777777
10:30,,0.0
11:00,,0.0
11:30,,0.0
18:30,0.0,
19:00,0.0,
19:30,0.0,
20:00,0.0,
20:30,0.0,
21:00,0.0,
21:30,0.0,
22:00,0.0,
22:30,0.0,
23:00,0.0,
23:30,0.0,
