Time (UTC),06/24/26,06/25/26,06/26/26,06/27/26,06/28/26
00:00,,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0
01:30,,0.0,0.0,0.0,0.0
02:00,,0.0,0.0,0.0,0.0
02:30,,0.0,0.0,0.0,0.0
03:00,,0.0,0.0,0.0,0.0
03:30,,0.0,0.0,0.0,0.0
04:00,,0.0,0.0,0.0,0.0
04:30,,0.0,0.0,0.7275333333333333,0.4433
05:00,,0.0,0.0,0.24667777777777777,2.5868777777777776
05:30,,0.0,1.736188888888889,0.6146111111111112,7.758188888888889
06:00,,2.584322222222222,0.11806666666666667,6.509288777777779,8.803733333333332
06:30,,12.464922111111113,0.0,1.2851666666666668,7.8854444444444445
07:00,,3.7064888888888894,0.3436222222222223,0.0,0.6522443333333333
07:30,,0.030811111111111098,0.5805333333333333,1.6966111111111113,1.0406888888888888
08:00,,1.463988888888889,0.7056222222222223,0.0,0.0
08:30,,0.29614444444444443,0.21929999999999997,1.3403888888888889,0.0
09:00,,1.4341666666666668,0.0,0.0,0.0
09:30,,7.5534,0.0,0.3276222222222222,3.5698000000000003
10:00,,0.0,0.0,0.0,1.1144555555555555
10:30,,0.6909998888888889,0.0,12.628966666666665,0.0
11:00,,1.658677777777778,0.0,2.5795888888888894,0.0
11:30,,0.0,0.0,0.0,0.0
12:00,,0.0,0.0,0.0,0.0
12:30,,0.0,0.0,0.0,0.0
13:00,,0.0,0.0,0.0,0.0
13:30,,0.0,0.0,0.0,0.0
14:00,,0.0,0.0,0.0,0.0
14:30,,0.0,0.0,0.0,0.0
15:00,,0.0,0.0,0.0,0.0
15:30,,0.0,0.0,0.0,0.0
16:00,,0.0,0.0,0.0,0.0
16:30,,0.0,0.0,0.0,0.0
17:00,,0.0,0.0,0.0,0.0
17:30,0.0,0.0,0.0,0.0,0.0
18:00,0.0,0.0,0.0,0.0,0.0
18:30,0.0,0.0,0.0,0.0,0.0
19:00,0.0,0.0,0.0,0.0,0.0
19:30,0.0,0.0,0.0,0.0,0.0
20:00,0.0,0.0,0.0,0.0,0.0
20:30,0.0,0.0,0.0,0.0,0.0
21:00,0.0,0.0,0.0,0.0,0.0
21:30,0.0,0.0,0.0,0.0,0.0
22:00,0.0,0.0,0.0,0.0,0.0
22:30,0.0,0.0,0.0,0.0,0.0
23:00,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,
