Time (UTC),06/24/26,06/25/26,06/26/26,06/27/26,06/28/26
00:00,,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,0.0,0.0
01:30,,0.06504444444444443,0.0,0.0,0.0
02:00,,0.0,0.0,0.03907777777777777,0.0
02:30,,0.0,0.0,0.0,0.0
03:00,,0.0,0.0,0.0,0.0
03:30,,0.0,0.0,0.0,0.0
04:00,,0.0,0.0,0.0,2.5989777777777774
04:30,,0.0,0.0,0.9303888888888889,0.5769666666666667
05:00,,0.0,0.0,0.41167777777777775,3.7762666666666664
05:30,,0.0,2.4067666666666665,0.6552777777777777,8.878422222222222
06:00,,4.341211111111112,0.15006666666666665,8.95641111111111,11.896144444444445
06:30,,15.604433222222221,0.0,1.8619333333333337,8.620133333333333
07:00,,6.58028888888889,0.5217666666666666,0.0,0.8660000000000001
07:30,,0.18964444444444442,0.5899777777777778,1.9792444444444446,1.482788888888889
08:00,,1.9132777777777779,0.7489666666666667,0.0,0.0
08:30,,0.45012222222222215,0.39060000000000006,1.4422444444444444,0.48018888888888883
09:00,,1.7221222222222223,0.0,0.0,0.0
09:30,,8.580877666666668,0.0,0.4606444444444446,3.772544444444444
10:00,,0.0,0.30595555555555554,0.06899988888888887,1.927777777777778
10:30,,1.751622111111111,0.0,14.42277777777778,0.5460222222222223
11:00,,2.3521999999999994,0.0,3.2158111111111105,0.0
11:30,,0.0,0.0,0.023066666666666666,0.0
12:00,,0.0,0.0,0.0,0.0
12:30,,0.0,0.0,0.0,0.0
13:00,,0.0178,0.0,0.0,0.0
13:30,,0.0,0.0,0.05924444444444443,0.4007222222222222
14:00,,0.0,0.0,0.0,0.22302222222222223
14:30,,0.35323333333333334,0.0,0.0,0.0
15:00,,0.0,0.0,0.0,0.15458888888888886
15:30,,0.0,0.0,0.0,2.6111888888888886
16:00,,0.0,0.0,0.0,0.0
16:30,,0.0,0.0,0.0,0.0
17:00,,0.0,0.0,0.0,0.0
17:30,0.0,0.0,0.0,0.6031888888888888,1.1676222222222223
18:00,0.0,0.0,0.0,1.8249666666666668,0.0
18:30,0.0,0.0,0.0,0.9299666666666666,0.0
19:00,0.0,0.0,0.0,1.2318444444444443,0.0
19:30,0.0,0.0,0.0,2.2887555555555554,0.0
20:00,0.0,0.0,0.0,0.10704444444444444,0.0
20:30,0.0,0.0,0.0,2.9547222222222227,0.0
21:00,0.0,0.10687777777777778,0.0,2.5167888888888887,0.0
21:30,0.0,0.0,0.0,1.4588444444444442,0.0
22:00,0.0,0.0,0.0,0.0,0.0
22:30,0.0,0.0,0.0,0.18282222222222222,0.0
23:00,0.0,0.0,0.0,0.4101666666666666,
23:30,0.006055555555555533,0.0,0.0,0.0,
