Time (UTC),01/08/26,01/09/26,01/10/26,01/11/26,01/12/26,01/13/26,01/14/26,01/15/26,01/16/26
00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00,,0.0,0.0,6.111111111111111,0.0,0.0,0.0,0.0,0.0
01:30,,4.444444444444445,15.555555555555555,20.0,0.0,1.1111111111111112,19.444444444444446,0.0,11.111111111111109
02:00,,1.6666666666666667,22.777777777777775,0.0,0.0,8.88888888888889,17.222222222222225,21.666666666666668,16.11111111111111
02:30,,0.0,0.0,0.0,0.0,3.888888888888889,42.77777777777778,17.77777777777778,34.166666666666664
03:00,,0.0,0.0,0.0,0.0,1.1111111111111112,10.0,28.333333333333332,0.0
03:30,,10.555555555555555,0.0,0.0,0.0,0.0,0.0,26.11111111111111,
04:00,,1.6666666666666667,0.0,0.0,0.0,2.2222222222222223,2.2222222222222223,12.777777777777779,
04:30,,0.0,1.6666666666666667,0.0,0.5555555555555556,0.0,0.0,17.222222222222225,
05:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
05:30,,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,
06:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
06:30,,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,
07:00,,0.0,0.0,0.0,0.0,0.0,5.5555555555555545,0.0,
07:30,,0.0,0.0,0.0,0.0,0.0,0.0,5.5555555555555545,
08:00,,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,11.666666666666666,
08:30,,0.0,0.0,0.0,0.0,0.0,0.0,4.444444444444445,
09:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
09:30,,0.0,0.0,0.0,0.0,0.0,0.0,3.888888888888889,
10:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
14:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16:30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17:30,,0.0,0.0,0.0,0.0,0.0,3.888888888888889,0.0,
18:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
18:30,,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,0.0,
19:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19:30,,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,
20:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20:30,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
